,precision,recall,f1-score,support
barbell biceps curl,1.0,0.9166666666666666,0.9565217391304348,24.0
hammer curl,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
lat pulldown,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
lateral raise,0.8333333333333334,1.0,0.9090909090909091,15.0
pull Up,0.9090909090909091,1.0,0.9523809523809523,10.0
push-up,1.0,0.9090909090909091,0.9523809523809523,22.0
shoulder press,1.0,1.0,1.0,7.0
accuracy,0.9423076923076923,0.9423076923076923,0.9423076923076923,0.9423076923076923
macro avg,0.9352765029456759,0.9471812648504379,0.9392694044541053,104.0
weighted avg,0.9479895104895105,0.9423076923076923,0.9429718831892745,104.0
